review_title,review_description,points,price,country,variety,likes,variety_encoded
Not bad,Fruity and fresh,91,67,Spain,Chardonnay,477,1
Could be better,Rich and full of flavor,91,35,Italy,Merlot,160,2
Loved it,Earthy and complex,83,183,Chile,Syrah,126,4
Could be better,Smooth and balanced,95,38,France,Cabernet Sauvignon,419,0
Could be better,Smooth and balanced,83,13,Italy,Pinot Noir,81,3
Amazing taste,Rich and full of flavor,84,108,Chile,Syrah,484,4
Loved it,Fruity and fresh,84,150,Italy,Cabernet Sauvignon,146,0
Loved it,Fruity and fresh,87,48,Spain,Merlot,238,2
Loved it,Earthy and complex,89,24,Spain,Syrah,411,4
Could be better,Rich and full of flavor,96,128,Spain,Cabernet Sauvignon,423,0
Not bad,Smooth and balanced,88,38,France,Chardonnay,83,1
Loved it,Fruity and fresh,98,166,Spain,Chardonnay,112,1
Could be better,Rich and full of flavor,93,84,Chile,Pinot Noir,224,3
Amazing taste,Fruity and fresh,87,125,Italy,Cabernet Sauvignon,331,0
Not bad,Fruity and fresh,88,41,USA,Chardonnay,377,1
Amazing taste,Smooth and balanced,90,139,Chile,Merlot,242,2
Not bad,A bit too sour,80,184,Chile,Cabernet Sauvignon,142,0
Could be better,Earthy and complex,93,93,Spain,Merlot,40,2
Great wine,Earthy and complex,84,31,France,Merlot,422,2
Not bad,Smooth and balanced,93,36,Italy,Chardonnay,257,1
Amazing taste,Fruity and fresh,83,90,France,Cabernet Sauvignon,446,0
Could be better,Rich and full of flavor,80,135,Italy,Syrah,284,4
Not bad,Fruity and fresh,98,193,Italy,Chardonnay,104,1
Great wine,Smooth and balanced,87,101,France,Chardonnay,201,1
Great wine,Earthy and complex,94,30,Chile,Cabernet Sauvignon,449,0
Loved it,Fruity and fresh,94,56,Italy,Cabernet Sauvignon,306,0
Loved it,Earthy and complex,88,110,France,Merlot,330,2
Amazing taste,Rich and full of flavor,88,196,Italy,Cabernet Sauvignon,460,0
Not bad,Earthy and complex,89,93,USA,Merlot,265,2
Not bad,Earthy and complex,99,15,Chile,Chardonnay,397,1
Loved it,A bit too sour,88,156,Spain,Pinot Noir,209,3
Not bad,A bit too sour,82,194,Italy,Syrah,50,4
Not bad,A bit too sour,99,140,USA,Chardonnay,117,1
Great wine,Earthy and complex,90,10,Spain,Cabernet Sauvignon,200,0
Loved it,Smooth and balanced,85,67,Spain,Syrah,376,4
Could be better,Earthy and complex,81,133,Italy,Pinot Noir,38,3
Loved it,Smooth and balanced,86,175,France,Pinot Noir,27,3
Could be better,Smooth and balanced,97,24,Italy,Merlot,258,2
Great wine,A bit too sour,81,171,USA,Syrah,83,4
Amazing taste,Fruity and fresh,96,198,Spain,Merlot,453,2
Not bad,Rich and full of flavor,90,172,Italy,Chardonnay,154,1
Great wine,A bit too sour,91,73,France,Syrah,116,4
Not bad,A bit too sour,98,34,Italy,Chardonnay,1,1
Amazing taste,Fruity and fresh,86,33,Chile,Merlot,92,2
Amazing taste,Rich and full of flavor,99,21,France,Syrah,165,4
Great wine,Earthy and complex,85,27,USA,Merlot,386,2
Amazing taste,Earthy and complex,80,24,Spain,Syrah,399,4
Could be better,A bit too sour,96,36,Italy,Merlot,349,2
Amazing taste,Rich and full of flavor,90,81,France,Pinot Noir,295,3
Not bad,A bit too sour,97,69,Chile,Merlot,257,2
Not bad,Smooth and balanced,96,183,France,Pinot Noir,80,3
Not bad,A bit too sour,86,154,Chile,Merlot,424,2
Not bad,A bit too sour,96,102,USA,Syrah,267,4
Could be better,Earthy and complex,99,62,Spain,Syrah,418,4
